omim_id,accessions,chebi_id
114550,HMDB0000036;HMDB0000157;HMDB0000277;HMDB0000294;HMDB0000467;HMDB0000518;HMDB0000631;HMDB0000896;HMDB0001452;HMDB0002497;HMDB0002917;HMDB0003331;HMDB0004157;HMDB0004160;HMDB0010382;HMDB0010384;HMDB0011511;HMDB0012325,28865;17368;37550;16199;nan;16755;27471;9410;15627;72733;17151;16020;6320;36378;72998;73858;131690;6178
121300,HMDB0000570;HMDB0000643;HMDB0000737,27609;28421;89912
123400,HMDB0000742,17588
125480,HMDB0000063;HMDB0000763,17650;27823
125851,HMDB0000122,15903
125853,HMDB0000001;HMDB0000011;HMDB0000023;HMDB0000060;HMDB0000062;HMDB0000087;HMDB0000122;HMDB0000131;HMDB0000153;HMDB0000289;HMDB0000336;HMDB0000479;HMDB0000599;HMDB0000623;HMDB0000660;HMDB0001167;HMDB0001185;HMDB0001311;HMDB0001659;HMDB0002030;HMDB0002032;HMDB0002061;HMDB0002658;HMDB0002712;HMDB0003152;HMDB0004327;HMDB0004814;HMDB0005794;HMDB0006088;HMDB0010325;HMDB0029164;HMDB0029176;HMDB0029177;HMDB0029182;HMDB0029184;HMDB0029190;HMDB0029226;HMDB0029234;HMDB0041693;HMDB0041729;HMDB0059710;HMDB0059971;HMDB0059973;HMDB0059981;HMDB0059989;HMDB0060024;HMDB0060524,50599;17066;37373;15344;16347;17170;15903;17754;27974;17775;nan;27596;49544;4676;28645;17158;15414;42111;15347;24103;52617;16336;16168;16070;64399;28885;89484;16243;10642;87248;nan;nan;nan;nan;nan;89287;nan;nan;88659;nan;178513;88690;88688;88703;88695;nan;nan
126200,HMDB0000030;HMDB0000042;HMDB0000067;HMDB0000125;HMDB0000289;HMDB0000464;HMDB0000501;HMDB0000547;HMDB0000574;HMDB0000599;HMDB0000608;HMDB0000657;HMDB0000692;HMDB0000742;HMDB0000845;HMDB0001035;HMDB0001247;HMDB0001302;HMDB0001333;HMDB0001419;HMDB0001496;HMDB0001960;HMDB0001989;HMDB0002012;HMDB0002103;HMDB0002174;HMDB0002175;HMDB0002179;HMDB0002196;HMDB0002457;HMDB0002503;HMDB0003337;HMDB0003625;HMDB0003638;HMDB0003642;HMDB0004118;HMDB0004142;HMDB0004628;HMDB0005949;HMDB0006112;HMDB0006119;HMDB0013724;HMDB0015532,15956;15366;16113;16856;17775;29108;nan;18420;17561;49544;48828;29036;29033;17588;nan;2719;28984;28685;29035;34310;17500;32990;30517;46234;76591;28911;30584;25942;85545;49786;49948;17858;16793;48775;35104;49867;37136;46961;49713;566274;42989;37117;29105
128230,HMDB0000468,63931
130650,HMDB0000122,15903
137215,HMDB0000067;HMDB0000148;HMDB0000243;HMDB0000271;HMDB0000289;HMDB0000562;HMDB0000700;HMDB0000784;HMDB0000943;HMDB0003331,16113;16015;32816;15611;17775;16737;33404;48131;15908;16020
138070,HMDB0000123,15428
138900,HMDB0000042;HMDB0000122;HMDB0000123;HMDB0000159;HMDB0000161;HMDB0000168;HMDB0000191;HMDB0000195;HMDB0000251;HMDB0000254;HMDB0000289;HMDB0000695;HMDB0000883;HMDB0000904;HMDB0003345,15366;15903;15428;17295;16977;17196;17053;17596;15891;15741;17775;48430;16414;16349;17925
139250,HMDB0000054;HMDB0000118;HMDB0000122;HMDB0000191;HMDB0000569,16990;545959;15903;17053;89510
139393,HMDB0000058;HMDB0006112,17489;566274
140350,HMDB0000158;HMDB0000451;HMDB0000595;HMDB0000707;HMDB0000909;HMDB0002354,17895;89344;28976;15999;88508;nan
141900,HMDB0001060;HMDB0010316,61682;32636
143100,HMDB0003869;HMDB0004207,88494;73521
143465,HMDB0012275,18397
143890,HMDB0000067,16113
145500,HMDB0000076;HMDB0000300;HMDB0000673;HMDB0001035;HMDB0001036;HMDB0001043;HMDB0001388;HMDB0001999;HMDB0002183;HMDB0004825;HMDB0004826;HMDB0004989;HMDB0005199;HMDB0005998;HMDB0010345;HMDB0015532,15901;17568;17351;2719;1183270;15843;27432;28364;28125;44715;29081;89626;123715;34306;88734;29105
146110,HMDB0000234;HMDB0000628,17347;42534
146300,HMDB0000224;HMDB0001491,17553;18405
149400,HMDB0000112,16865
154800,HMDB0000898;HMDB0002820,29009;1606
1551,HMDB0001993,17899
155600,HMDB0003192,2030
157300,HMDB0001897,332416
161400,HMDB0000118;HMDB0001897,545959;332416
161950,HMDB0031325;HMDB0032042,31328;nan
164050,HMDB0000071;HMDB0000085;HMDB0000133;HMDB0000195,28997;17172;16750;17596
165720,HMDB0003276,16136
166710,HMDB0000600;HMDB0003598,nan;545914
